product_code,product_name,material,size,color,brand,gender,stock_quantity,price
P001,White Cotton Shirt,Cotton,"S, M, L, XL",White,XYZ,Unisex,50,35
P002,Blue Denim Jeans,Denim,"28, 30, 32, 34",Blue,ABC,Men,30,45
P003,Floral Dress,Voile,"S, M, L",Multicolor,DEF,Women,20,55
P004,Black Silk Dress,Silk,"S, M, L",Black,GHI,Women,10,120
P005,Leather Jacket,Leather,"M, L, XL",Black,JKL,Men,15,250
P006,Cotton Shorts,Cotton,"S, M, L, XL","Blue, Black",MNO,Unisex,40,30
P007,Pink Flared Skirt,Chiffon,"S, M, L",Pink,PQR,Women,25,60
P008,Graphic Print T-Shirt,Cotton,"S, M, L, XL","White, Black",STU,Unisex,35,25
P009,Tailored Trousers,Polyester,"28, 30, 32, 34","Black, Gray",VWX,Men,45,70
P010,Maxi Dress,Chiffon,"S, M, L","Blue, White",YZA,Women,20,80
P011,Knit Sweater,Wool,"S, M, L, XL","Blue, Red",BCD,Unisex,50,50
P012,Leggings,Spandex,"S, M, L","Black, Gray",EFG,Women,30,35
P013,Pencil Skirt,Polyester,"S, M, L",Black,HIJ,Women,20,75
P014,Silk Blouse,Silk,"S, M, L","White, Blue",KLM,Women,25,40
P015,Jogger Pants,Cotton,"S, M, L, XL","Black, Gray",NOP,Unisex,35,45
P016,Midi Dress,Silk,"S, M, L","Pink, White",QRS,Women,20,70
P017,Long Sleeve T-Shirt,Cotton,"S, M, L, XL","Blue, Black",TUV,Unisex,50,30
P018,Khaki Pants,Khaki,"28, 30, 32, 34","Brown, Blue",WXY,Men,30,50
P019,Lace Dress,Lace,"S, M, L","Red, Black",ZAB,Women,15,100
P020,Party Dress,Satin,"S, M, L","Blue, Yellow",CDE,Women,10,150
P021,Crew Neck T-Shirt,Cotton,"S, M, L, XL","Black, White",FGHI,Unisex,60,20
P022,Denim Shorts,Denim,"S, M, L, XL","Blue, White",JKLM,Women,40,35
P023,Bodycon Dress,Polyester,"S, M, L","Red, Black",NOPQ,Women,15,90
P024,Evening Gown,Satin,"S, M, L","Red, Blue",RSTU,Women,5,200
P025,Hoodie,Fleece,"S, M, L, XL","Gray, Black",UVWX,Unisex,50,60
P026,Sweatpants,Cotton,"S, M, L, XL","Gray, Black",YZAB,Unisex,30,50
P027,Pleated Mini Skirt,Polyester,"S, M, L","Pink, Black",BCDE,Women,20,65
P028,Wool Long Sleeve Top,Wool,"S, M, L, XL","Gray, Black",DEFG,Unisex,25,70
P029,Wide Leg Pants,Linen,"S, M, L","White, Gray",FGHI,Women,15,75
P030,Summer Dress,Cotton,"S, M, L","Yellow, White",HIJK,Women,20,90
